ping 165.22.239.236 -w 10
PING 165.22.239.236 (165.22.239.236) 56(84) bytes of data.
64 bytes from 165.22.239.236: icmp_seq=1 ttl=64 time=0.022 ms
64 bytes from 165.22.239.236: icmp_seq=2 ttl=64 time=0.050 ms
64 bytes from 165.22.239.236: icmp_seq=3 ttl=64 time=0.041 ms
64 bytes from 165.22.239.236: icmp_seq=4 ttl=64 time=0.044 ms
64 bytes from 165.22.239.236: icmp_seq=5 ttl=64 time=0.044 ms
64 bytes from 165.22.239.236: icmp_seq=6 ttl=64 time=0.041 ms
64 bytes from 165.22.239.236: icmp_seq=7 ttl=64 time=0.053 ms
64 bytes from 165.22.239.236: icmp_seq=8 ttl=64 time=0.039 ms
64 bytes from 165.22.239.236: icmp_seq=9 ttl=64 time=0.041 ms
64 bytes from 165.22.239.236: icmp_seq=10 ttl=64 time=0.043 ms
